date,prediction,lower_bound,upper_bound
2017-09-01,118,83,151
2017-09-02,112,74,147
2017-09-03,102,66,140
2017-09-04,126,89,160
2017-09-05,102,66,138
2017-09-06,111,76,145
2017-09-07,123,87,159
2017-09-08,127,90,162
2017-09-09,121,85,156
2017-09-10,111,75,146
2017-09-11,134,99,169
2017-09-12,110,73,145
2017-09-13,118,81,151
2017-09-14,130,94,166
2017-09-15,133,95,168
2017-09-16,126,90,160
2017-09-17,115,80,151
2017-09-18,137,104,175
2017-09-19,113,77,149
2017-09-20,120,87,155
2017-09-21,131,94,167
2017-09-22,134,99,169
2017-09-23,126,90,160
2017-09-24,115,80,151
2017-09-25,137,102,173
2017-09-26,113,76,152
2017-09-27,120,85,155
2017-09-28,131,94,165
2017-09-29,134,101,172
2017-09-30,128,93,166
